,Date (Year/Month), PRIMARY DESCRIPTION,LATITUDE,LONGITUDE
2992,2019-08,BATTERY,41.67198685,-87.629693199
3003,2019-08,BATTERY,41.672137474,-87.617642044
3030,2019-08,WEAPONS VIOLATION,41.672614274000004,-87.618409079
3035,2019-08,BATTERY,41.672998178,-87.652712741
3038,2019-08,CRIMINAL DAMAGE,41.673080776999996,-87.65880992700001
3057,2019-08,ASSAULT,41.673207966,-87.61767410899999
3076,2019-08,WEAPONS VIOLATION,41.673212688,-87.64175519
3080,2019-08,BURGLARY,41.673263228,-87.636945006
3100,2019-08,CRIMINAL DAMAGE,41.673328145999996,-87.63814854799999
3107,2019-08,THEFT,41.673367407,-87.640560272
3112,2019-08,BURGLARY,41.673383051,-87.638151618
3135,2019-08,NARCOTICS,41.673440701,-87.63815465799999
3175,2019-08,MOTOR VEHICLE THEFT,41.673548279,-87.616795523
3184,2019-08,BURGLARY,41.67355185,-87.616488016
3210,2019-08,BURGLARY,41.673554115,-87.616411124
3231,2019-08,WEAPONS VIOLATION,41.673662930999996,-87.627339655
3245,2019-08,NARCOTICS,41.673721493,-87.640571116
3256,2019-08,ASSAULT,41.673769998000004,-87.62734580600001
3288,2019-08,MOTOR VEHICLE THEFT,41.674086599,-87.620394998
3295,2019-08,DECEPTIVE PRACTICE,41.674201351,-87.615023987
3312,2019-08,BURGLARY,41.674340926999996,-87.616720845
3316,2019-08,THEFT,41.674340926999996,-87.616720845
3323,2019-08,BURGLARY,41.674415595,-87.61637228200001
3336,2019-08,DECEPTIVE PRACTICE,41.674846291,-87.66130618700001
3340,2019-08,THEFT,41.674919820999996,-87.623771672
3342,2019-08,BATTERY,41.674964021,-87.62738400299999
3346,2019-08,CRIMINAL DAMAGE,41.674994498000004,-87.66130830600001
3354,2019-08,NARCOTICS,41.675059222,-87.639411063
3426,2019-08,CRIMINAL DAMAGE,41.675278905,-87.63580685
3449,2019-08,OTHER OFFENSE,41.675331076999996,-87.619718728
3480,2019-08,BATTERY,41.675393028,-87.62618967700001
3483,2019-08,OTHER OFFENSE,41.675410520999996,-87.628590726
3487,2019-08,OTHER OFFENSE,41.675427823,-87.641830308
3494,2019-08,NARCOTICS,41.675470110999996,-87.63701638799999
3499,2019-08,OTHER OFFENSE,41.67548545,-87.641829692
3515,2019-08,THEFT,41.675523891,-87.641832941
3530,2019-08,WEAPONS VIOLATION,41.675572338,-87.64076357399999
3534,2019-08,BATTERY,41.675577959,-87.62859622
3558,2019-08,CRIMINAL DAMAGE,41.675673839,-87.624996959
3561,2019-08,MOTOR VEHICLE THEFT,41.675709513,-87.62499656799999
3562,2019-08,BURGLARY,41.675709513,-87.62499656799999
3614,2019-08,ROBBERY,41.676063226,-87.61653701899999
3640,2019-08,DECEPTIVE PRACTICE,41.676249496,-87.619126568
3663,2019-08,INTERFERENCE WITH PUBLIC OFFICER,41.676905546,-87.620477364
3685,2019-08,CRIMINAL DAMAGE,41.677020961,-87.637065561
3706,2019-08,WEAPONS VIOLATION,41.677088491,-87.627441318
3712,2019-08,OTHER OFFENSE,41.67712508,-87.621803711
3715,2019-08,OFFENSE INVOLVING CHILDREN,41.677126916999995,-87.62165727
3746,2019-08,ASSAULT,41.677171944,-87.63345831299999
3762,2019-08,CRIMINAL DAMAGE,41.677234176,-87.634665615
3767,2019-08,BATTERY,41.677246048,-87.63707411600001
3769,2019-08,DECEPTIVE PRACTICE,41.677248699,-87.629848197
3773,2019-08,DECEPTIVE PRACTICE,41.677251761,-87.616575078
3794,2019-08,THEFT,41.677286429,-87.68235817799999
3816,2019-08,BATTERY,41.677334774,-87.62509588399999
3857,2019-08,OTHER OFFENSE,41.677464115999996,-87.665495904
3866,2019-08,NARCOTICS,41.67747921,-87.62049299700001
3886,2019-08,CRIMINAL TRESPASS,41.677500749000004,-87.622641499
3887,2019-08,DECEPTIVE PRACTICE,41.677500749000004,-87.622641499
3888,2019-08,CRIMINAL DAMAGE,41.677500749000004,-87.622641499
3921,2019-08,THEFT,41.677605515,-87.65682624899999
3926,2019-08,CRIMINAL DAMAGE,41.677619207,-87.620498773
3928,2019-08,BATTERY,41.677619207,-87.620498773
3929,2019-08,ASSAULT,41.677619207,-87.620498773
3931,2019-08,THEFT,41.677619207,-87.620498773
3943,2019-08,THEFT,41.677661758,-87.65287225799999
3950,2019-08,THEFT,41.677661758,-87.65287225799999
3954,2019-08,THEFT,41.677661758,-87.65287225799999
3956,2019-08,NARCOTICS,41.677694406,-87.65051085299999
3969,2019-08,BATTERY,41.677759951999995,-87.645853925
3990,2019-08,THEFT,41.677799762,-87.642881123
3995,2019-08,THEFT,41.677799762,-87.642881123
4009,2019-08,THEFT,41.677810006,-87.642302645
4012,2019-08,CRIMINAL DAMAGE,41.677810006,-87.642302645
4017,2019-08,THEFT,41.677819544,-87.641607035
4018,2019-08,INTERFERENCE WITH PUBLIC OFFICER,41.677822343,-87.641160416
4019,2019-08,ASSAULT,41.67782447,-87.64105789799999
4023,2019-08,CRIMINAL DAMAGE,41.677830551999996,-87.62050376200001
4094,2019-08,BATTERY,41.677927829,-87.631403865
4102,2019-08,THEFT,41.677952477,-87.629152346
4121,2019-08,OTHER OFFENSE,41.677991805,-87.62572562
4131,2019-08,CRIM SEXUAL ASSAULT,41.678007410999996,-87.62425023799999
4147,2019-08,HOMICIDE,41.678038746,-87.621771684
4153,2019-08,BATTERY,41.67807067,-87.61983854700001
4154,2019-08,BATTERY,41.67807067,-87.61983854700001
4184,2019-08,BATTERY,41.678146061999996,-87.61476048799999
4191,2019-08,CRIMINAL TRESPASS,41.678237739000004,-87.68073427
4196,2019-08,THEFT,41.678237739000004,-87.68073427
4204,2019-08,CRIMINAL TRESPASS,41.678237739000004,-87.68073427
4211,2019-08,THEFT,41.678342377,-87.67310818700001
4222,2019-08,THEFT,41.678427129,-87.680739677
4223,2019-08,THEFT,41.678427129,-87.680739677
4231,2019-08,THEFT,41.678427129,-87.680739677
4269,2019-08,DECEPTIVE PRACTICE,41.678572134,-87.660202189
4270,2019-08,CRIMINAL DAMAGE,41.678587727,-87.62267712799999
4293,2019-08,BATTERY,41.678651004,-87.617837105
4294,2019-08,BATTERY,41.678659237,-87.617837013
4297,2019-08,THEFT,41.678662713,-87.660204905
4300,2019-08,BATTERY,41.678689445,-87.617840339
4310,2019-08,THEFT,41.678734913,-87.677438349
4320,2019-08,BATTERY,41.678807614,-87.657772742
4323,2019-08,THEFT,41.67882694,-87.644385641
4336,2019-08,BATTERY,41.678887433,-87.637118655
4360,2019-08,ASSAULT,41.678922031999996,-87.645599956
4367,2019-08,BATTERY,41.678941263,-87.64560341200001
4374,2019-08,BURGLARY,41.678941421,-87.634709379
4387,2019-08,THEFT,41.678950597,-87.621889761
4391,2019-08,ASSAULT,41.678961386,-87.670989675
4397,2019-08,THEFT,41.67897703,-87.631095953
4404,2019-08,THEFT,41.678996145999996,-87.645602827
4433,2019-08,BURGLARY,41.679075731,-87.627496475
4442,2019-08,THEFT,41.679106927,-87.62632107
4443,2019-08,BURGLARY,41.679108772,-87.631098181
4444,2019-08,CRIMINAL DAMAGE,41.67911252,-87.63712721
4445,2019-08,ASSAULT,41.679113451,-87.63592285
4460,2019-08,DECEPTIVE PRACTICE,41.679144468000004,-87.631101453
4462,2019-08,ASSAULT,41.679149125,-87.635922465
4474,2019-08,ASSAULT,41.679188264000004,-87.627498906
4478,2019-08,BATTERY,41.679197087,-87.622696048
4482,2019-08,BATTERY,41.679222447,-87.61661544200001
4485,2019-08,BURGLARY,41.679222447,-87.61661544200001
4509,2019-08,THEFT,41.679384473,-87.65973614100001
4511,2019-08,BATTERY,41.679389638,-87.620552448
4523,2019-08,THEFT,41.679413382,-87.64195969299999
4531,2019-08,BATTERY,41.679439061,-87.64075506200001
4533,2019-08,ROBBERY,41.679444944000004,-87.655551378
4541,2019-08,BURGLARY,41.679611045,-87.643341309
4542,2019-08,CRIMINAL DAMAGE,41.679613305,-87.643260751
4547,2019-08,BATTERY,41.679622543,-87.62270967
4549,2019-08,CRIMINAL DAMAGE,41.679622543,-87.62270967
4556,2019-08,ROBBERY,41.679626608,-87.680775148
4565,2019-08,BATTERY,41.67965039999999,-87.620560552
4567,2019-08,THEFT,41.679652053000005,-87.61028138299999
4576,2019-08,WEAPONS VIOLATION,41.679716487,-87.63399814700001
4607,2019-08,BATTERY,41.679786891,-87.628004859
4619,2019-08,OTHER OFFENSE,41.679860202,-87.622088401
4629,2019-08,BATTERY,41.67989174,-87.61965004
4639,2019-08,BATTERY,41.679994930999996,-87.677502429
4645,2019-08,WEAPONS VIOLATION,41.680262610999996,-87.63716240299999
4651,2019-08,CRIMINAL TRESPASS,41.680285736,-87.668885831
4655,2019-08,BURGLARY,41.680295342,-87.657823075
4658,2019-08,CRIMINAL DAMAGE,41.680320261,-87.63716544299999
4686,2019-08,OTHER OFFENSE,41.680413203,-87.61789079799999
4687,2019-08,CRIMINAL TRESPASS,41.680418425999996,-87.66243794799999
4694,2019-08,THEFT,41.680418425999996,-87.66243794799999
4697,2019-08,CRIMINAL DAMAGE,41.680418425999996,-87.66243794799999
4700,2019-08,THEFT,41.680418425999996,-87.66243794799999
4701,2019-08,THEFT,41.680418425999996,-87.66243794799999
4726,2019-08,THEFT,41.680418425999996,-87.66243794799999
4740,2019-08,ASSAULT,41.680418425999996,-87.66243794799999
4753,2019-08,WEAPONS VIOLATION,41.680454663,-87.620588284
4760,2019-08,BATTERY,41.680462979,-87.637167565
4784,2019-08,DECEPTIVE PRACTICE,41.680532445,-87.65660889700001
4792,2019-08,ASSAULT,41.680557751,-87.659046672
4793,2019-08,ASSAULT,41.680557751,-87.659046672
4815,2019-08,THEFT,41.680646681999995,-87.657834043
4817,2019-08,BATTERY,41.680649966,-87.660264732
4821,2019-08,BATTERY,41.680654626,-87.65174251
4831,2019-08,WEAPONS VIOLATION,41.680688405,-87.660267992
4833,2019-08,ASSAULT,41.680692908000005,-87.66244607899999
4837,2019-08,THEFT,41.680692908000005,-87.66244607899999
